作者,粉丝,标题,点赞,硬币,收藏,分享,弹幕,播放,评论,时长,上传时间,爬取时间,频道,标签,分区,时间
哇塞几张,838856,这就是上海热度第一重庆火锅？排队16小时到底值不值？,29089,8257,1798,869,1397,323472,525,505,2021/12/21 16:00,2021/12/23 16:05,火锅 探店 美食 搞笑,美食 美食侦探,food,2.004016204
马蹄厨房,1138541,这是鸡腿吗？不，这是鸡蛋！,21548,6629,7106,918,1147,221963,428,419,2021/12/20 18:00,2021/12/23 16:06,小吃 家常菜 美食,美食 美食制作,food,2.920636574
老饭骨,2152547,在家就能解锁的国宴标配主食，一点糊嘎巴都没有~丨什锦炒饭,18823,3852,7398,1119,690,240002,608,358,2021/12/21 19:31,2021/12/23 16:06,小吃 一人食 烹饪 家常菜 厨艺 美食,美食 美食制作,food,1.857488426
田野上的繁荣,2100017,18元怼2个火烧夹菜，配上一杯自制果汁，好吃带劲,41146,8228,1282,558,4881,557208,1379,515,2021/12/20 11:30,2021/12/23 16:06,美食,美食 美食记录,food,3.191631944
巴黎小郭郭,328997,美味家常菜碳烤鲨鱼，干净又卫生,26608,263,837,45,217,362697,439,91,2021/12/21 17:58,2021/12/23 16:06,鲨鱼 海鲜 美食,美食 美食记录,food,1.922361111
滇西小哥,999315,一族一味——遇见纳西,27988,14313,2237,843,2632,166261,864,911,2021/12/22 18:00,2021/12/23 16:06,美食,美食 美食制作,food,0.92099537
密子君,3010762,重庆辣火锅大猪蹄整根涮！随机点零踩雷｜成都美味探店,22085,2283,1462,548,666,308866,541,438,2021/12/20 18:30,2021/12/23 16:06,火锅 探店 吃货 美食 搞笑,美食 美食侦探,food,2.900115741
夏波波Brian,1570175,我花999元吃了一个15斤的狮子头？,25685,10533,1720,305,2316,218540,464,528,2021/12/22 18:05,2021/12/23 16:06,街头美食 歪果仁 探店 美食 搞笑,美食 美食侦探,food,0.917743056
桓桓真的很文静,332462,《招待女明星的正确打开方式》 我爱啊啊啊啊啊啊啊啊啊！,24531,606,922,313,142,294744,263,57,2021/12/20 18:48,2021/12/23 16:06,冬天应该吃什么 吃货 美食 搞笑,美食 美食记录,food,2.887662037
嘟玛驰的美食日常,48329,【水果圣诞树】学做超火的水果圣诞树，快赶在圣诞节前学一波吧！,15153,337,2916,1164,57,321611,353,47,2021/12/21 13:50,2021/12/23 16:06,水果 美食,美食 美食制作,food,2.094594907
别叫我狗哥-,674234,家里来了新客人 整点下饭菜吃吃吧～,21799,246,508,254,131,308028,302,73,2021/12/20 18:44,2021/12/23 16:06,冬天应该吃什么 吃货 美食,美食 美食记录,food,2.890868056
非洲飞哥,536667,孩子们第一次吃大肠包子，味道太赞了，就是这个味道,21607,6670,808,406,5625,223591,1523,1231,2021/12/21 22:59,2021/12/23 16:06,我与美食的故事 吃货 美食,美食 美食记录,food,1.713715278
章余飞不是章鱼飞,842702,深夜在室友的床边吃炸鸡、脆皮五花肉和南昌拌粉，室友居然...,24093,6384,1482,399,4590,215365,415,597,2021/12/22 17:00,2021/12/23 16:07,美食 搞笑,美食 美食测评,food,0.963148148
食贫道,2298908,肉少了加馕，馕少了加串，深夜偷跑solo吃脏摊，真香！,21591,3450,1513,402,1280,240909,407,399,2021/12/21 18:00,2021/12/23 16:07,烧烤 街头美食 探店 美食,美食 美食侦探,food,1.9215625
穿毛裤的小拉泽,479893,凌迟、解剖、挖洞……你无法想象这根火腿一天都经历了什么？！,33414,3978,1473,222,2660,416962,589,326,2021/12/19 18:05,2021/12/23 16:07,吃货 美食,美食 美食记录,food,3.918055556
胖龙的小生活,593414,老爸难得请客！爷仨晚上下馆子，喝点小酒，真幸福,18503,4015,455,139,1965,277976,441,351,2021/12/20 18:37,2021/12/23 16:07,创作加成计划 探店 美食,美食 美食记录,food,2.895671296
好奇五先生,786469,1000度铁球 vs 牛蛙，太香了！,14843,433,661,133,846,315973,700,251,2021/12/20 19:40,2021/12/23 16:07,零食 美食,美食 美食制作,food,2.852280093
挑爷评美食,712170,投资5000万的川菜馆，只有16个包间怎么赚钱？！,17643,7023,1531,280,892,225949,485,758,2021/12/21 11:30,2021/12/23 16:07,川菜 美食侦探 探店 美食,美食 美食侦探,food,2.19255787
乡村教师日记,1043630,萝 莉 小 水 饺,57108,22528,2018,555,3736,593236,2428,220,2021/12/19 22:01,2021/12/23 16:07,厨艺 美食,美食 美食制作,food,3.754328704
吃货请闭眼,1891697,北京超便宜自助餐，20多种水饺任意吃，第一次吃回本！,16388,1937,1335,1160,3218,267146,859,438,2021/12/21 21:00,2021/12/23 16:07,美食侦探 探店 吃货 美食,美食 美食侦探,food,1.797013889
村上一酱,1040,劲辣寿司,95713,223,5611,1923,521,2785516,1032,31,2021/12/10 23:21,2021/12/23 16:07,创作加成计划 烹饪 美食,美食 美食制作,food,12.69880787
我的样子平平无奇,2084609,爷爷！你关注的UP主终于更新福鼎肉片啦！,76726,48543,10820,2927,4711,609083,2247,482,2021/12/19 18:00,2021/12/23 16:07,小吃 美食,美食 美食制作,food,3.921967593
没煮熟的大鹅,472125,半醒半醉日复日，又是一年一冬至。,17753,1527,613,365,823,262183,871,155,2021/12/21 18:15,2021/12/23 16:08,冬天应该吃什么 美食,美食 美食记录,food,1.911805556
喵二哥-,164348,AD钙奶：终于有人拿我开刀了…,9710,3191,8050,1953,536,425714,372,233,2021/12/18 19:00,2021/12/23 16:08,奶茶 饮料 美食,美食 美食制作,food,4.880428241
泰国阿航,355315,泰国路边摊-粉丝焖海鲜,17386,579,717,339,430,255748,375,175,2021/12/21 11:20,2021/12/23 16:08,我与美食的故事 街头美食 美食,美食 美食侦探,food,2.200046296
鸿星尔克官方,208204,冬至来临，谁可以拒绝饺子跟汤圆呢？,26870,832,410,51,249,187897,660,39,2021/12/21 15:45,2021/12/23 16:08,种草 美食,美食 美食制作,food,2.015740741
老赵精品大闸蟹稻田蟹,1439,吃大闸蟹的方法,47113,1306,17056,1172,184,995901,438,68,2021/11/28 12:20,2021/12/23 16:08,小龙虾 烧烤 海鲜 试吃 美食,美食 美食测评,food,25.15832176
丁子沪,57479,在定西路吃京東盛·铜锅涮肉,12367,81,1673,1160,29,393617,119,58,2021/12/19 10:36,2021/12/23 16:08,我与美食的故事 火锅 街头美食 美食,美食 美食侦探,food,4.230671296
饱饱哒轻食餐,43077,滑嫩鲜美的双菇豆腐拌饭 简单清淡高蛋白 低脂低卡减脂餐,13529,1106,19683,1730,66,206906,255,69,2021/12/18 17:00,2021/12/23 16:08,创作加成计划 一人食 美食,美食 美食制作,food,4.964097222
阿林吃土,654752,土豆秒变下饭神器的n种做法，没钱没厨艺也可以好好吃饭！,10037,3358,5785,602,408,135245,658,509,2021/12/22 17:45,2021/12/23 16:08,我与美食的故事 小吃 家常菜 美食,美食 美食制作,food,0.932777778
星空下的丹麦,126185,【法国甜点大师Amaury Guichon】百香果菠萝夹心土星蛋糕,149133,786,23561,2599,1642,2043232,1202,206,2021/12/15 1:25,2021/12/23 16:08,烘焙 美食,美食 美食制作,food,8.613460648
SERGEY谢尔盖,863064,SERGEY谢尔盖! 来自热带的新口味出场，菠萝虾仁炒饭，酸酸甜甜就是它！搭配超多芝士制作的可乐饼，超长拉丝你们喜欢吗？｜烹饪过程 & 咀嚼音助眠,18751,6122,1597,476,1670,149117,776,754,2021/12/21 19:38,2021/12/23 16:08,一人食 美食,美食 美食制作,food,1.854421296
女胖胖,2018892,十块钱一串的超大火锅串串！30多种牛肉串吃到爽！,18837,1134,694,566,960,203686,331,454,2021/12/20 18:39,2021/12/23 16:09,科鲁泽，人生的痛快连成串 麻辣烫 火锅 美食,美食 美食侦探,food,2.895648148
美食搜刮者,1483,免费吃饭的便利店时薪90的留学生活怎么样～,40142,34,2049,139,87,479118,255,83,2021/12/17 11:43,2021/12/23 16:09,美食侦探 探店 吃货 美食,美食 美食侦探,food,6.184155093
神奇海挪,337480,三色漏奶华！炼乳狂喜！我是没想到吃着还有点开胃,20844,3206,994,826,2516,157233,681,414,2021/12/22 11:05,2021/12/23 16:09,一人食 厨艺 美食,美食 美食制作,food,1.211111111
NBzhuoc大,1797353,懂了，外卖是这么点的！,22491,1826,1260,111,1450,145013,635,410,2021/12/22 18:00,2021/12/23 16:09,试吃 美食 搞笑,美食 美食测评,food,0.923009259
阿星探店,438790,东北农村铁锅炖，小笨鸡炖榛蘑，柴火山泉煮肉香，阿星长白山漂流,14008,6589,1149,903,3527,159907,550,1291,2021/12/20 15:30,2021/12/23 16:09,美食,美食 美食侦探,food,3.027175926
品诺美食开课啦,1804915,春饼讲究薄、透、光，既要软和还要有劲道，跟着面点老师傅学窍门,12994,2483,3868,692,445,131935,368,266,2021/12/22 18:15,2021/12/23 16:09,小吃 家常菜 厨艺 美食,美食 美食制作,food,0.912638889
波靖仔,1201782,试吃各厂家推出的奇葩口味汤圆，印度汤圆直接把我超度了！,18592,2240,899,136,1785,164269,453,454,2021/12/20 17:57,2021/12/23 16:09,试吃 印度 开箱 美食 搞笑,美食 美食测评,food,2.925219907
小马逛吃,880987,终于吃到了凉皮和肉夹馍，英国小哥激动成狗！！,17213,4551,886,101,1469,155082,381,469,2021/12/21 12:01,2021/12/23 16:09,小吃 歪果仁 探店 英国 美食,美食 美食侦探,food,2.172013889
川味盐太婆,45079,豆腐茄子肉沫煲你们肯定没吃过吧？看完学会在家也能做！,81203,7082,11896,2023,1257,1183339,935,302,2021/12/16 14:23,2021/12/23 16:09,家常菜 美食,美食 美食制作,food,7.073541667
踢馆小馋,366545,5000一公斤的海带煮出来的汤是个啥味？小伙直接泪目了！,14302,4507,1089,85,590,163602,460,311,2021/12/21 17:23,2021/12/23 16:09,日本料理 探店 美食,美食 美食侦探,food,1.948703704
真探来了,526722,五星大饭店的淮扬菜，比路边酒楼更牛吗？金陵饭店走起｜真探来了,11250,623,395,106,498,260634,357,370,2021/12/20 14:07,2021/12/23 16:09,探店 美食,美食 美食侦探,food,3.085347222
花二Strange,1155682,送闺蜜一个榴莲自助餐馆！B站第一个！审核都馋哭了！,17334,4810,1143,218,685,141370,350,496,2021/12/22 16:20,2021/12/23 16:10,烘焙 美食,美食 美食制作,food,0.993043981
噗噗叽叽__,636540,一口气给林先生做了一周的早餐！绝对不是因为我偷懒不想早起！转眼间投喂林先生也有一年啦～这一年里他已经胖了十多斤了……,15504,359,757,198,190,179430,198,97,2021/12/22 17:05,2021/12/23 16:10,我与美食的故事 美食,美食 美食制作,food,0.961597222
徐大sao,3996535,一盆食材烩一锅，家里的腊货整全了，第一次尝试腊味大餐，真过瘾,12301,1672,401,209,763,193500,350,321,2021/12/21 0:00,2021/12/23 16:10,吃货 美食,美食 美食制作,food,2.673576389
辛评测er,292250,爆了！爆了！爆了！靓仔终于爆了！,87351,459,9247,179,298,921386,308,86,2021/12/17 17:00,2021/12/23 16:10,开箱 美食,美食 美食测评,food,5.965358796
林述巍JACKLIN,869700,小林哥带大家吃传统广式点心，200多吃12个菜,18957,7100,1334,612,2135,189219,901,594,2021/12/20 13:05,2021/12/23 16:10,街头美食 小吃 探店 美食,美食 美食侦探,food,3.128726852
张喜喜-,1611804,老社区赶集！如何一招打开成都饺子店老板的话匣子？,12256,2668,729,174,1348,174816,317,514,2021/12/21 18:00,2021/12/23 16:10,探店 美食,美食 美食测评,food,1.923900463
陕西老乔吃货,325890,莲菜大肉酸汤水饺做法，酸辣开胃，这个季节吃一口烫烫的水饺，美的很。,9625,605,2156,917,240,163352,402,95,2021/12/20 19:12,2021/12/23 16:10,小吃 家常菜 美食,美食 美食制作,food,2.87369213
午餐肉艺术家葛世贤,409936,一斤羊杂火锅竟然只花了二十块？四川人震惊！,12652,198,424,46,249,189306,190,150,2021/12/21 18:00,2021/12/23 16:10,美食,美食 美食记录,food,1.924039352
转生成为毛毛,132737,是男人就补到炸膛！青青草原灭绝计划再次启动，喜羊羊你被我逮着有你好果汁吃的！,7742,3529,537,1889,1249,185909,599,398,2021/12/20 20:07,2021/12/23 16:10,每天一秒记录生活 街头美食 美食 搞笑 必剪创作,美食 美食侦探,food,2.835381944
阿鱼吃什么,157108,这不是以前的保温杯了，它现在叫钮钴禄·保温杯,8074,91,1755,255,72,181410,206,60,2021/12/21 13:27,2021/12/23 16:10,美食,美食 美食制作,food,2.113275463
摩西是野生的,397060,这玩意是怎么做到全国统一的？,43014,14038,10267,1499,1433,781352,1445,259,2021/12/18 20:20,2021/12/23 16:11,烘焙 美食 搞笑,美食 美食制作,food,4.827083333
草原二蛋,305717,董事长家宰牛拿来两个牛蹄子让做回锅，一个员工吃一个自己吃,11037,677,244,84,372,182853,284,254,2021/12/20 19:06,2021/12/23 16:11,烹饪 美食,美食 美食制作,food,2.878310185
上班族的便当,1829650,肯德基：不愧是限量版炸鸡！好吃到炸，嫩到爆汁！,17676,2270,6496,346,286,536855,188,257,2021/12/17 18:09,2021/12/23 16:11,烹饪 美食,美食 美食制作,food,5.918043981
复古家庭ChineseLife,16553,外国家庭在中国生活了十年之后，拥有了一个中国胃，全家最爱的竟然是拍黄瓜？,18644,6872,1642,250,2278,400186,983,902,2021/12/18 11:40,2021/12/23 16:11,歪果仁 美食,美食 美食记录,food,5.187743056
了不起的八万二饼,1119698,烤苕皮！烤苕皮！香辣的烤苕皮！,19533,3959,987,208,940,128670,462,330,2021/12/23 12:10,2021/12/23 16:11,小吃 美食 搞笑,美食 美食制作,food,0.167581019
混血宝贝EVA,283316,法国邻里第一次冬至吃饺子，牛肉馅，猪肉馅和羊肉馅哪个最受欢迎？,13511,2795,454,43,1223,144614,436,726,2021/12/20 18:01,2021/12/23 16:11,下午茶 萌娃 美食,美食 美食记录,food,2.923784722
阿菜奇妙厨房,1144007,广东人真的什么都敢放进汤煲的喔,12218,3680,2179,423,1137,103677,500,484,2021/12/22 17:15,2021/12/23 16:11,家常菜 美食,美食 美食制作,food,0.955949074
君君辅食记,424454,如何快速搞定一餐？有菜有蛋，这个实用性很高了,9128,154,2776,385,58,130422,239,54,2021/12/21 14:10,2021/12/23 16:11,美食,美食 美食制作,food,2.084212963
大_白饭_,772,最近我对象一直熬夜看欧洲杯，外卖就算了，安排了一桌大排档，边吃边烤边看，简直不要太爽,2362,246,2094,33,6,631697,51,60,2021/12/2 8:11,2021/12/23 16:11,美食,美食 美食制作,food,21.33334491
小新在厨房,51032,挑战给生鸵鸟蛋剥壳，你们猜我挑战成功没有？,272,10,130,0,3,269543,9,69,2021/12/19 20:37,2021/12/23 16:11,美食,美食 美食制作,food,3.815324074
SkyyTipsy,45494,这一罐只需要25美金？！,6749,239,2695,375,161,227002,260,184,2021/12/19 9:00,2021/12/23 16:11,美食,美食 美食制作,food,4.29994213
泡厨房的顾小胖,148266,挑战速冻饺子的八种吃法，有手就能做，绝对宿舍党友好,10040,3947,9978,2017,409,183873,518,434,2021/12/19 11:30,2021/12/23 16:12,家常菜 美食,美食 美食制作,food,4.195833333
努力的悉尼小猪猪,498935,辍学妹妹居然期中考到了全班第一？果断要带她去超市囤货，好好奖励一下呀！,52482,2136,3539,442,383,766001,716,151,2021/12/18 21:35,2021/12/23 16:12,美食 搞笑,美食 美食记录,food,4.775613426
去种田的向凹凸,518009,上山寻找长在藤里的虫，油炸一下直接蛋白质自由，真香！！！,13644,4601,538,128,2083,106647,515,924,2021/12/22 20:56,2021/12/23 16:12,黑暗料理 农村 户外 美食,美食 田园美食,food,0.802615741
小老虎的泰国行,361202,泰国美食：冬日里的开胃神汤冬阴功神汤巨型罗氏虾三只装一盆,11495,515,590,737,247,166380,202,261,2021/12/20 14:32,2021/12/23 16:12,海鲜 泰国 吃货 美食 必剪创作,美食 美食记录,food,3.069618056
张醋醋Yuki,201554,圣诞裙:你为什么要吃我？？,4268,185,516,27,84,274279,49,146,2021/12/19 14:24,2021/12/23 16:12,我与美食的故事 小吃 厨艺 美食,美食 美食制作,food,4.074814815
小鱼儿夫妇,311655,小时候看见大人们，先做豆腐再沙猪，就知道离新年不远了😊，不知道我老公用了两天时间，追忆的儿时味道有没有人喜欢,50992,1353,2489,636,731,845512,891,206,2021/12/17 16:50,2021/12/23 16:12,萌宠星探官 美食,美食 美食制作,food,5.973472222
走南养老院,371908,《痒》笑死，老鼠跳舞居然这么涩情,129024,29461,11669,10003,3223,2069394,2016,261,2021/12/20 18:24,2021/12/23 16:12,原来家电还可以这样 吱星人 萌宠 搞笑,动物圈 动物综合,animal,2.908506944
琳达贝儿,1780,看完心情会变好噢~,89450,15526,17257,13710,4360,1341546,976,130,2021/12/21 10:00,2021/12/23 16:12,萌宠星探官 哈士奇 柴犬 柯基 汪星人 萌宠,动物圈 汪星人,animal,2.258784722
河马君,1057137,谁能拒绝一只可爱的小狗呢？,150294,786,10083,2017,375,1320771,847,47,2021/12/19 17:02,2021/12/23 16:13,无限搞笑公司 汪星人 萌宠 搞笑,动物圈 汪星人,animal,3.965798611
光速qaw,48305,精准打击,110011,201,8642,1554,612,1069255,631,40,2021/12/19 17:33,2021/12/23 16:13,喵星人 萌宠,动物圈 喵星人,animal,3.944421296
本喵叫兔兔,851965,出现了不太精神的领养人,78592,15074,2809,522,455,763526,903,112,2021/12/21 18:26,2021/12/23 16:13,萌宠星探官 喵星人 萌宠,动物圈 喵星人,animal,1.907488426
龙馍馍,1010111,“总有一天，全城的狗，都要高看我！”,68417,27855,12943,11085,797,674079,1053,182,2021/12/23 7:30,2021/12/23 16:13,哈士奇 柴犬 柯基 汪星人 英雄联盟 萌宠 搞笑,动物圈 汪星人,animal,0.363356481
汪星人的汪二宝2,2670,低音炮狗狗唱歌苏死了wooooo~,56595,1325,13858,4457,52,496025,263,16,2021/12/21 12:52,2021/12/23 16:13,阿拉斯加 汪星人 萌宠,动物圈 汪星人,animal,2.13974537
大崎茄茄,126456,养鸟人专项训练倒计时，熟练的让人心疼…,46766,523,6271,573,53,773243,306,13,2021/12/20 20:32,2021/12/23 16:13,我家宠物是真的爱我 鹦鹉 萌宠,动物圈 动物综合,animal,2.820358796
银桑的万视屋,113399,“这头猪……让我笑了整整2分50秒呀！”,61510,4259,4627,2572,940,1487571,441,171,2021/12/19 18:16,2021/12/23 16:13,动物世界 金毛 哈士奇 汪星人 喵星人 萌宠 搞笑,动物圈 动物综合,animal,3.914594907
